again	adverb, indicates repetition or return
maybe	adverb, indicates possibility or uncertainty
must	modal verb, indicates necessity or obligation
before	preposition, indicates prior to a time
other	adjective, indicates an alternative or different
wait	verb, indicates pausing or delaying
stop	verb, indicates ceasing movement or action
call	verb, indicates contacting or naming
after	preposition, indicates following in time
won	verb, past tense of "win"
talk	verb, indicates verbal communication
away	adverb, indicates distance from a place
than	conjunction, indicates comparison
thought	noun, refers to an idea or mental process
home	noun, refers to a place of residence
night	noun, refers to the period of darkness
put	verb, indicates placing or positioning
great	adjective, indicates large size or quality
those	demonstrative pronoun, refers to distant items
last	adjective, indicates final or most recent
better	adjective, indicates superior quality or condition
everything	pronoun, refers to all things collectively
told	verb, past tense of "tell"
new	adjective, indicates recent or unused
things	noun, refers to objects or items
always	adverb, indicates at all times
keep	verb, indicates retaining or holding
long	adjective, indicates extended duration or distance
years	noun, refers to periods of twelve months
leave	verb, indicates departing or allowing to remain
does	verb, third person singular of "do"
money	noun, refers to currency or wealth
around	adverb, indicates encircling or nearby
doesn	informal contraction of "does not"
name	noun, refers to a designation or title
place	noun, refers to a specific location
ever	adverb, indicates at any time
feel	verb, indicates perception through touch or emotion
guys	noun, informal term for people, often males
father	noun, refers to a male parent
guy	noun, informal term for a man
made	verb, past tense of "make"
old	adjective, indicates advanced age or duration
isn	informal contraction of "is not"
which	interrogative pronoun, asks for specification
big	adjective, indicates large size or extent
lot	noun, refers to a large amount or number
done	verb, past participle of "do"
hello	interjection, informal greeting
nice	adjective, indicates pleasantness or agreeability
believe	verb, indicates accepting as true
girl	noun, refers to a female child or young woman
someone	pronoun, refers to an unspecified person
fine	adjective, indicates high quality or satisfactory condition
thanks	expression of gratitude, noun/verb
wanted	desired or wished for, past tense verb
kind	considerate and helpful, adjective
coming	approaching or arriving, present participle
house	building for living, noun
every	each one without exception, determiner
ok	acceptable or satisfactory, adjective
through	moving in one side and out another, preposition
being	existing or living entity, noun
course	path or direction taken, noun
stay	remain in a place, verb
left	opposite of right, adjective/adverb
dad	father, informal noun
enough	sufficient quantity or degree, adjective/adverb
happened	occurred or took place, past tense verb
came	arrived at a place, past tense verb
may	expressing possibility, modal verb
mother	female parent, noun
wrong	incorrect or not right, adjective
world	the earth and its inhabitants, noun
bad	of poor quality or unfavorable, adjective
might	expressing possibility, modal verb
three	number following two, numeral
today	the present day, noun/adverb
listen	pay attention to sound, verb
another	one more of the same kind, determiner
understand	grasp the meaning of, verb
hear	perceive sound, verb
remember	retain information in memory, verb
ask	request information or action, verb
own	possess or have, verb/adjective
same	identical or unchanged, adjective
show	display or demonstrate, verb
else	in addition or different, adverb
kill	cause death, verb
talking	engaging in conversation, present participle
found	discovered or established, past tense verb
next	immediately following, adjective/adverb
getting	becoming or acquiring, present participle
care	show concern or interest, verb/noun
car	automobile for transportation, noun
looking	directing one's gaze, present participle
son	male child, noun
try	attempt to do something, verb
woman	adult female human, noun
went	moved from one place to another, past tense verb
hi	informal greeting, interjection
dead	no longer alive, adjective
many	large number of, adjective/pronoun
mind	mental faculty or consciousness, noun/verb
wasn	was not, contraction
friend	person with whom one has a bond, noun
best	of the highest quality, adjective
mom	mother, informal noun
hell	place of suffering, noun
morning	early part of the day, noun
trying	making an effort, present participle
boy	male child, noun
together	in unison or in a group, adverb
yourself	referring to one's own person, pronoun
job	paid position of regular employment, noun
saw	perceived with the eyes, past tense verb
family	group of related individuals, noun
real	true or genuine, adjective
without	lacking or not having, preposition
baby	very young child, noun
room	enclosed space within a building, noun
wouldn	would not, contraction
already	before the present time, adverb
move	change position or location, verb
most	greatest in amount or degree, adjective/adverb
seen	perceived visually, past participle verb
live	exist or be alive, verb/adjective
miss	fail to notice or attend, verb
actually	in fact or really, adverb
huh	expression of confusion or surprise, interjection
both	two together, pronoun/adjective
heard	perceived sound, past tense verb
once	one time, adverb
ready	prepared for action, adjective
head	top part of the body, noun
called	named or designated, past tense verb
used	previously employed or utilized, past tense verb
idea	thought or concept, noun
knew	had knowledge of, past tense verb
hold	grasp or support, verb
happy	feeling pleasure or contentment, adjective
door	movable barrier for entry, noun
such	of the kind previously mentioned, adjective
brother	male sibling, noun
also	in addition, adverb
pretty	attractive or pleasing, adjective/adverb
bit	small amount, noun/adverb
took	grabbed or seized, past tense verb
haven	place of safety or refuge, noun
yet	up to this time, adverb
men	adult male humans, noun
whole	entire or complete, adjective
start	begin or commence, verb
use	employ for a purpose, verb/noun
while	period of time, noun/conjunction
since	from a specified time until now, preposition/conjunction
wife	female spouse, noun
days	plural of day, noun
guess	estimate or suppose, verb/noun
tomorrow	the day after today, noun/adverb
matter	subject or issue, noun/verb
meet	come into contact with, verb
bring	carry to a place, verb
tonight	the evening of today, noun/adverb
everyone	all people, pronoun
run	move swiftly on foot, verb
wanna	want to, informal contraction
hard	requiring great effort, adjective/adverb
ah	expression of realization or understanding, interjection
alone	without others, adjective/adverb
myself	referring to one's own person, pronoun
school	institution for education, noun
gone	no longer present, past participle verb
um	expression of hesitation, interjection
end	final part or conclusion, noun/verb
saying	expressing in words, present participle
phone	device for communication, noun/verb
play	engage in activity for enjoyment, verb/noun
looks	appearance or visual aspect, noun/verb
couldn	could not, contraction
problem	difficult situation or issue, noun
few	small number of, adjective/pronoun
friends	people with whom one has a bond, noun
gotta	got to, informal contraction
ago	in the past, adverb
open	not closed, adjective/verb
anyone	any person, pronoun
killed	caused death, past tense verb
hope	desire for a positive outcome, noun/verb
face	front part of the head, noun/verb
until	up to the point in time, preposition/conjunction
lost	unable to find, past participle verb
police	law enforcement agency, noun
excuse	reason for a fault, noun/verb
turn	change direction or position, verb/noun
business	commercial activity or enterprise, noun
case	instance or example, noun
wants	desires or wishes for, verb
says	expresses in words, present tense verb
true	in accordance with fact, adjective
die	cease to live, verb
heart	organ that pumps blood, noun
soon	in a short time, adverb
each	every individual item, determiner/pronoun
worry	feel anxious or concerned, verb/noun
later	after a time, adverb
year	period of twelve months, noun
watch	observe attentively, verb/noun
music	art form of sound, noun
hand	end part of the arm, noun/verb
having	possessing or holding, present participle
probably	likely to happen, adverb
beautiful	pleasing to the senses, adjective
doctor	medical professional, noun
sit	rest on a surface, verb
eat	consume food, verb
thinking	process of considering, present participle
young	in early stage of life, adjective
second	one-sixtieth of a minute, noun/adjective
working	engaged in a job, present participle
water	liquid essential for life, noun/verb
person	individual human being, noun
part	portion of a whole, noun/verb
kids	children, informal noun
late	after the expected time, adjective/adverb
stuff	material or things, noun/verb
exactly	precisely or accurately, adverb
under	beneath or below, preposition
death	end of life, noun
minute	unit of time equal to sixty seconds, noun
pay	give money for services, verb/noun
crazy	mentally deranged or irrational, adjective
forget	fail to remember, verb
everybody	all people, pronoun
kid	child or young person, noun
change	make something different, verb/noun
gave	provided or transferred, past tense verb
happen	occur or take place, verb
five	number following four, numeral
drink	consume liquid, verb/noun
far	at a great distance, adverb/adjective
knows	has knowledge of, present tense verb
its	possessive form of it, pronoun
whatever	anything or everything, pronoun/adjective
eyes	organs of sight, noun
shut	close or fasten, verb/adjective
aren	are not, contraction
hit	strike or impact, verb/noun
taking	grasping or seizing, present participle
easy	not difficult, adjective
times	plural of time, noun
check	to examine or verify something (verb)
hands	the end parts of arms (noun)
minutes	units of time, 60 seconds each (noun)
deal	an agreement or arrangement between parties
different	not the same; distinct or diverse
means	methods or resources to achieve something
point	a specific location or idea; to indicate
inside	within the confines of something
makes	produces or creates; causes to happen
asked	inquired or requested information from someone
somebody	an unspecified person; someone
mine	belonging to me; a possessive pronoun
making	the process of creating or forming
body	the physical structure of a person or thing
afraid	feeling fear or anxiety; scared
sleep	the natural state of rest for the body
chance	an opportunity or possibility of something happening
dear	beloved; valued highly; affectionate term
quite	to a significant extent; fairly or very
four	the number after three; a numeral
anyway	in any case; regardless of circumstances
close	near in distance or relationship; shut
ain	informal contraction of "am not"
party	a social gathering or celebration
fun	enjoyment or amusement; pleasurable activity
against	in opposition to; contrary to
word	a single unit of language with meaning
comes	arrives or appears; to move toward
important	of great significance or value
set	to place or put something in position
shall	used to express future action or intention
story	a narrative or account of events
number	a mathematical value or quantity
daughter	a female child in relation to parents
least	the smallest amount or degree; minimal
waiting	the act of staying in place for something
hurt	to cause pain or injury to someone
wish	to desire or hope for something
moment	a brief period of time; instant
fight	to engage in physical or verbal conflict
week	a period of seven days
husband	a married man in relation to his spouse
girls	young female children or adolescents
rest	to cease work or activity for relaxation
married	joined in a legal or formal union
fire	the combustion of materials producing heat and light
game	a form of play or competitive activity
nobody	no person; an insignificant individual
mr	a title for a man; mister
children	young human beings; plural of child
side	a position or surface of something
stand	to be in an upright position
read	to interpret written or printed text
though	despite the fact; although
cut	to divide or sever with a sharp instrument
started	began or initiated an action or process
sister	a female sibling; a close female friend
supposed	expected or required; assumed to be true
between	in the space separating two things
child	a young human being; a minor
goes	moves or travels from one place to another
hours	a unit of time equal to sixty minutes
speak	to communicate verbally; to talk
women	adult female human beings; plural of woman
behind	at the back of something; in the rear
almost	very nearly; not quite
truth	the quality of being in accordance with fact
blood	the red liquid circulating in the body
able	having the capacity or skill to do something
lady	a polite term for a woman; female of nobility
anymore	no longer; not any longer
playing	engaging in an activity for enjoyment
gets	receives or obtains; to acquire
shot	to fire a projectile; a photograph
reason	a cause or explanation for an action
trouble	difficulty or problems; distress
break	to separate into pieces; to pause
war	conflict between groups or nations
city	a large, densely populated urban area
walk	to move at a regular pace on foot
town	a human settlement smaller than a city
trust	reliance on the integrity of someone
met	came into contact with someone; encountered
office	a place where professional work is done
question	an inquiry seeking information or clarification
brought	to have carried or conveyed something
yours	belonging to you; possessive pronoun
welcome	greeting someone in a friendly manner
high	elevated in position or level; tall
wow	an expression of surprise or admiration
couple	two individuals considered together; pair
half	one of two equal parts; 50 percent
died	ceased to live; passed away
cool	moderately cold; stylish or impressive
free	not under the control of another; liberated
either	one or the other of two options
seems	appears to be; gives the impression of
power	the ability to do something or act
whoa	an expression of surprise or to slow down
bye	a casual farewell; goodbye
buy	to purchase something in exchange for money
telling	revealing information; narrating a story
honey	a term of endearment; sweet substance
tried	made an effort to do something
front	the forward-facing part or position
team	a group of individuals working together
answer	to respond to a question or inquiry
gun	a weapon that fires projectiles
boys	young male children or adolescents
line	a long, narrow mark or boundary
send	to cause something to go to a destination
news	information about recent events or developments
stupid	lacking intelligence or common sense
bed	a piece of furniture for sleeping
hurry	to move quickly; to rush
full	containing as much as possible; not empty
months	units of time; typically 30 or 31 days
save	to rescue or preserve from harm
sometimes	occasionally; not always
become	to begin to be; to develop into
along	in a line or direction; together with
hate	to feel intense dislike or aversion
food	substances consumed for nourishment
outside	the external or outer part of something
light	visible illumination; not heavy
l	abbreviation for liter or length unit
needs	requirements or necessities for survival
dog	a domesticated canine animal; pet
country	a nation or area of land
clear	free from obstruction; easy to understand
order	a request for something to be delivered
em	informal contraction of "them"
fact	something that is known to be true
lord	a title of authority or nobility
captain	the leader of a group or team
six	the number after five; a numeral
hot	having a high temperature; spicy
funny	causing laughter; humorous
black	the darkest color; absence of light
alive	living; having life; not dead
pick	to select or choose something
feeling	an emotional state or reaction
living	the condition of being alive; existence
cause	the reason something happens; to make happen
ahead	in front; forward in position or time
lose	to be deprived of something; to fail to win
king	a male monarch; ruler of a kingdom
plan	a detailed proposal for achieving something
dinner	the main meal of the day
sighs	exhalations expressing relief or sadness
sort	a category or type of something
leaving	the act of departing or going away
shouldn	informal contraction of "should not"
running	the act of moving swiftly on foot
boss	a person in charge; supervisor
alright	acceptable; satisfactory; informal version of "all right"
promise	a commitment to do something in the future
taken	captured or acquired; not available
safe	protected from danger; secure
ma	informal term for mother
book	a written work; a collection of pages
sent	dispatched or delivered something to someone
white	the color of purity; absence of color
hour	a unit of time equal to sixty minutes
anybody	any person; anyone
small	of limited size; not large
perfect	flawless; without any defects
lives	the plural of life; existence
special	distinctive; better or different than usual
parents	individuals who have children; guardians
s	abbreviation for plural or possessive form
john	common male name; also a term for toilet
himself	reflexive pronoun for a male
perhaps	possibly; indicating uncertainty or doubt
sounds	auditory sensations; noises
serious	requiring careful consideration; grave
sick	ill; unwell; affected by disease
company	a business or group of people
ha	an expression of laughter or surprise
scared	feeling fear or anxiety; frightened
uncle	a brother of one's parent
poor	lacking sufficient money or resources
red	the color of blood; a primary color
past	the time that has already happened
earth	the planet we live on; soil
possible	capable of happening; feasible
shoot	to fire a projectile; to take a photograph
touch	to make physical contact with something
sound	auditory sensation; noise or tone
top	the highest point or position
laughs	expressions of amusement; to chuckle
cannot	not able to; unable to
asking	inquiring or requesting information
win	to achieve victory; to be successful
glad	feeling pleasure or happiness
control	the power to influence or direct
hmm	an expression of thought or contemplation
human	relating to people; of mankind
drive	to operate a vehicle; to propel forward
hair	the fine strands growing from the skin
jack	a device for lifting heavy objects; a name
luck	fortune or chance; favorable circumstances
murder	the unlawful killing of another person
happens	occurs or takes place; verb
air	mixture of gases surrounding Earth; noun
ten	numerical value between nine and eleven; noun
daddy	informal term for father; noun
finally	eventually reaching a conclusion; adverb
chuckles	laughs quietly or softly; verb
fast	moving quickly; adjective/adverb
cold	lower temperature; lacking warmth; adjective
seem	to appear or give the impression; verb
laughing	expressing joy or amusement; verb
words	individual units of language; noun
hospital	facility for medical treatment; noun
street	public road in a city or town; noun
hang	to suspend or attach from above; verb
dance	moving rhythmically to music; verb/noun
meeting	gathering of people for discussion; noun
till	until; preposition/conjunction
others	additional people or things; pronoun
catch	to capture or seize; verb
follow	to come after or pursue; verb
sense	faculty of perception; understanding; noun
sex	biological distinction between male and female; noun
lie	to recline or be in a horizontal position; verb
evening	time of day after afternoon; noun
master	a person with control or authority; noun
known	recognized or familiar; adjective
dream	series of thoughts during sleep; noun
write	to compose text; create written work; verb
million	numerical value of one thousand thousand; noun
voice	sound produced by humans; noun
sweet	pleasant taste or smell; adjective
rather	to a certain degree; somewhat; adverb
felt	past tense of feel; experienced emotion; verb
sign	indicator or symbol; noun
lucky	having good fortune; adjective
somewhere	in or at a place not specified; adverb
bet	to wager or stake on an outcome; verb
o	exclamation expressing surprise or realization; interjection
jesus	religious figure in Christianity; noun
longer	greater in length or duration; comparative adjective
calling	a strong urge to follow a particular profession; noun
worked	past tense of work; engaged in labor; verb
quiet	silent or calm; not noisy; adjective
looked	past tense of look; directed gaze; verb
less	a smaller amount; comparative adjective
pull	to exert force to draw something closer; verb
beat	to strike repeatedly; defeat; verb
careful	exercising caution; attentive; adjective
coffee	brewed beverage made from roasted beans; noun
return	to come back; give back; verb
secret	something kept hidden; confidential; noun
weeks	periods of seven days; noun
weren	contracted form of "were not"; verb
date	a specific day of the month; noun
seeing	perceiving with the eyes; verb
fall	to drop down; descend; verb
given	specified or stated; adjective
ooh	exclamation of surprise or pleasure; interjection
fault	an error or mistake; noun
straight	not curved; direct; adjective
takes	to grasp or seize; verb
song	a musical composition; noun
future	time yet to come; noun
gentlemen	plural of gentleman; polite men; noun
loved	past tense of love; cherished; verb
changed	made different; altered; verb
road	a pathway for vehicles; noun
calm	free from agitation; peaceful; adjective
wonderful	extremely good; inspiring delight; adjective
mad	angry or insane; adjective
turned	changed direction; verb
drop	to let fall; fall down; verb
ladies	plural of lady; women; noun
learn	to acquire knowledge; understand; verb
step	to move by lifting a foot; verb
absolutely	without any doubt; completely; adverb
early	before the usual time; adjective/adverb
explain	to make clear; clarify; verb
clean	free from dirt; tidy; adjective
piece	a portion of something; noun
yesterday	the day before today; noun
throw	to propel something through the air; verb
picture	image or representation; noun
land	to come down to the ground; verb
feet	plural of foot; units of measurement; noun
wonder	to feel curiosity or amazement; verb
questions	inquiries seeking information; noun
speaking	the act of talking; verbal communication; verb
worth	value or merit; noun
darling	a term of endearment; beloved person; noun
dude	informal term for a man; noun
giving	to provide or offer; verb
president	head of state or organization; noun
eye	organ of sight; noun
quick	rapid; done in a short time; adjective
moving	in motion; changing position; verb
figure	a numerical symbol or shape; noun
state	a condition or situation; noun
strong	having power or force; robust; adjective
sam	a common male name; noun
none	not any; zero; pronoun
amazing	causing great surprise; astonishing; adjective
ones	individual items or people; pronoun
works	actions or creations; noun
act	to perform or take action; verb
needed	required or essential; adjective
weird	strange or unusual; adjective
law	a system of rules; legal regulations; noun
worried	anxious or concerned; adjective
report	a formal account of information; noun
goodbye	farewell; parting expression; noun
missing	not present; absent; adjective
choice	an option or selection; noun
happening	an event or occurrence; noun
chief	highest in rank; leader; noun
wedding	ceremony of marriage; noun
strange	unusual or unfamiliar; adjective
general	relating to all; common; adjective
pain	discomfort or suffering; noun
kidding	joking or teasing; verb
decided	made a choice; resolved; verb
ya	informal version of "you"; pronoun
pass	to go by; allow to proceed; verb
tired	in need of rest; fatigued; adjective
class	group of students or a category; noun
officer	a person in a position of authority; noun
kept	to have retained; verb
wake	to emerge from sleep; verb
worse	of poorer quality; comparative adjective
busy	occupied with tasks; active; adjective
eh	exclamation expressing uncertainty; interjection
mistake	an error or misunderstanding; noun
kiss	to touch with lips; show affection; verb
court	place where legal matters are decided; noun
building	structure with walls and a roof; noun
finish	to complete or conclude; verb
during	throughout the duration of; preposition
age	period of time; number of years; noun
ship	to transport goods; send by vessel; verb
caught	to have seized or captured; verb
marry	to unite in marriage; verb
meant	to intend or signify; verb
sell	to exchange for money; verb
dark	lacking light; dim; adjective
watching	to observe attentively; verb
system	a set of connected parts; noun
suppose	to assume or believe; verb
evidence	facts supporting a claim; proof; noun
movie	a film or motion picture; noun
ride	to sit on and control a vehicle; verb
t	letter or abbreviation; noun
completely	entirely; fully; adverb
mouth	opening for eating and speaking; noun
totally	fully; completely; adverb
birthday	anniversary of one's birth; noun
tv	television; electronic device for viewing; noun
forgive	to pardon or excuse; verb
born	to come into existence; verb
imagine	to form mental images; envision; verb
information	data or knowledge communicated; noun
instead	in place of; as an alternative; adverb
definitely	certainly; without doubt; adverb
security	safety from danger; protection; noun
certainly	without a doubt; surely; adverb
film	motion picture; recorded visual media; noun
month	a period of four weeks; noun
lying	to recline; also to tell untruths; verb
unless	except if; under the condition that; conjunction
train	vehicle for transporting people; noun
seven	numerical value between six and eight; noun
wear	to have clothing on; verb
clothes	garments worn on the body; noun
michael	common male name; noun
hotel	establishment providing lodging; noun
christmas	Christian holiday celebrating Jesus' birth; noun
attack	to assault or confront; verb
hasn	contracted form of "has not"; verb
round	circular in shape; adjective
expect	to anticipate or look forward to; verb
sing	to produce musical sounds with voice; verb
terrible	extremely bad; awful; adjective
george	common male name; noun
bag	container for carrying items; noun
history	study of past events; noun
blue	color of the sky or ocean; adjective
near	close in distance; adjective/adverb
broke	without money; financially insolvent; adjective
station	a place where services are provided; noun
seriously	in a solemn or grave manner; adverb
forever	for an infinite time; eternally; adverb
david	common male name; noun
frank	honest and straightforward; adjective
except	not including; excluding; preposition
thinks	to have a thought or opinion; verb
message	communication sent or received; noun
entire	whole; complete; adjective
joe	common male name; noun
table	furniture with a flat surface; noun
talked	past tense of talk; communicated verbally; verb
across	from one side to another; preposition
rock	solid mineral material, often used in construction
lovely	beautiful or delightful in appearance or nature
handle	to manage or control something with skill
middle	the central point or position of something
buddy	a close friend or companion, informal term
paid	compensated for work or services rendered
protect	to keep safe from harm or danger
using	the act of employing something for a purpose
floor	the lower surface of a room or building
ran	past tense of run; moved quickly on foot
swear	to make a solemn promise or oath
spend	to use money or resources for something
situation	a set of circumstances or state of affairs
ring	a circular band, often worn as jewelry
anywhere	in or to any place; no specific location
dangerous	capable of causing harm or injury
bill	a statement of money owed for goods/services
york	referring to a city in the UK or USA
army	a large organized military force for defense
lead	to guide or direct a group or activity
bought	past tense of buy; acquired for payment
finished	completed or brought to an end
fair	just, equitable, or free from bias
sun	the star at the center of our solar system
letter	a written or printed communication addressed to someone
fool	a person lacking in judgment or sense
attention	notice taken of someone or something
club	a group of people with a common interest
simple	easily understood or uncomplicated in nature
interesting	arousing curiosity or attention; engaging
space	the physical universe beyond Earth's atmosphere
test	a procedure to assess knowledge or ability
box	a container typically made of cardboard or wood
group	a number of people or things considered together
single	one; not accompanied by others
sitting	the act of being seated or resting
marriage	the legally recognized union of two people
join	to connect or become part of something
fear	an unpleasant emotion caused by perceived danger
d	the fourth letter of the English alphabet
peace	a state of tranquility or absence of conflict
forgot	failed to remember; overlooked or neglected
force	strength or energy as an attribute of physical action
short	having little length or duration
normal	conforming to a standard; usual or typical
charlie	a common male given name; informal reference
present	to give or show something to someone
enjoy	to take pleasure in an activity or experience
mike	a common male given name; informal reference
crime	an act against the law; illegal activity
horse	a large domesticated animal used for riding
ground	the solid surface of the earth
american	relating to the United States or its people
count	to determine the total number of items
area	a specific physical space or region
charge	to demand payment for goods or services
honor	high respect or esteem; integrity
lunch	a meal eaten in the middle of the day
miles	a unit of distance equal to 5,280 feet
radio	a device for receiving or transmitting sound via waves
idiot	a person considered to be foolish or stupid
ball	a spherical object used in games and sports
surprise	an unexpected event or occurrence
paper	a material made from cellulose fibers for writing
key	a small metal instrument for opening locks
boat	a watercraft used for traveling on water
quickly	in a fast manner; rapidly
gold	a yellow precious metal, often used in jewelry
bar	a long, rigid piece of material, often metal
fish	a cold-blooded aquatic animal with gills
mark	a visible impression or stain on a surface
tom	a common male given name; informal reference
wearing	the act of having clothing on one's body
crying	the act of shedding tears, often from emotion
accident	an unexpected event causing damage or injury
government	the governing body of a nation or state
eight	the number following seven; a digit
fell	past tense of fall; dropped down
cover	to place something over or upon another
certain	known for sure; established as true
interested	having a desire to know or learn
deep	extending far down from the top or surface
star	a luminous celestial body visible in the night sky
sea	the expanse of saltwater that covers most of Earth
agree	to have the same opinion or consent
problems	difficulties or issues requiring resolution
detective	a person investigating crimes or mysteries
prison	a facility for the confinement of criminals
major	important or significant in nature or degree
stick	a thin piece of wood or material
offer	to present something for acceptance or rejection
difficult	hard to do or understand; challenging
smart	intelligent or clever in understanding
personal	relating to an individual or private matters
record	to document or register information
stopped	past tense of stop; ceased movement
hide	to conceal or keep out of sight
whether	expressing a choice between alternatives
bank	a financial institution for managing money
trip	a journey or excursion to a destination
relax	to become less tense or anxious
america	the continent or country known as the USA
public	relating to the community or general population
list	a series of items written or printed
afternoon	the period of time after noon
brain	the organ of thought and coordination
fix	to repair or restore to working condition
proud	feeling deep pleasure or satisfaction
tea	a beverage made by steeping tea leaves
service	the action of helping or doing work for others
screaming	making a loud, high-pitched sound
forward	toward the front or direction of movement
angry	feeling strong annoyance or displeasure
park	a public green space for recreation
soul	the immaterial essence of a person
fighting	engaging in physical combat or struggle
peter	a common male given name; informal reference
rich	having a lot of money or valuable resources
agent	a person acting on behalf of another
blow	to strike with force; a strong gust of air
paul	a common male given name; informal reference
dress	to put on clothing; a garment for women
mary	a common female given name; informal reference
missed	failed to notice or catch something
scene	a place where an event occurs; setting
killing	the act of causing death to someone
standing	being in an upright position; not sitting
saved	rescued or kept from harm; preserved
mm	an expression of thought or consideration
respect	admiration for someone due to their qualities
killer	a person who causes death intentionally
ice	frozen water, often used in drinks
mess	a state of disorder or untidiness
tough	strong and resilient; difficult to break
feels	experiences an emotional or physical sensation
church	a building for Christian worship and community
sad	feeling sorrow or unhappiness
cell	a small room or compartment, often in prison
drunk	intoxicated by alcohol; unable to function normally
share	to give a portion of something to others
